iter	Passed	Remaining
0	2	294
1	6	296
2	9	295
3	12	296
4	15	293
5	18	290
6	21	291
7	25	287
8	28	286
9	31	285
10	34	279
11	37	275
12	40	271
13	43	267
14	48	272
15	51	267
16	54	264
17	57	261
18	60	258
19	64	257
20	67	253
21	70	251
22	74	249
23	77	244
24	80	242
25	83	238
26	87	236
27	90	232
28	93	229
29	97	226
30	100	224
31	104	221
32	107	217
33	110	214
34	114	212
35	118	210
36	121	207
37	124	203
38	128	200
39	131	196
40	134	193
41	137	189
42	140	185
43	143	182
44	145	178
45	148	174
46	152	172
47	156	169
48	159	165
49	162	162
50	166	160
51	170	157
52	173	153
53	176	150
54	179	146
55	182	143
56	186	140
57	189	137
58	192	133
59	195	130
60	198	127
61	202	124
62	205	120
63	208	117
64	212	114
65	215	111
66	219	108
67	223	104
68	225	101
69	229	98
70	232	94
71	235	91
72	239	88
73	242	85
74	245	81
75	248	78
76	251	75
77	255	72
78	258	68
79	261	65
80	265	62
81	268	58
82	272	55
83	275	52
84	279	49
85	282	45
86	285	42
87	288	39
88	291	36
89	294	32
90	297	29
91	301	26
92	304	22
93	307	19
94	310	16
95	314	13
96	317	9
97	321	6
98	324	3
99	327	0
