iter	MultiClass
0	1.599971457
1	1.5896209
2	1.582205811
3	1.572483991
4	1.561944444
5	1.552334046
6	1.543131113
7	1.532632123
8	1.525416098
9	1.518356658
10	1.511722959
11	1.504552249
12	1.497337927
13	1.488466246
14	1.479636968
15	1.472094231
16	1.466462467
17	1.459014708
18	1.453375207
19	1.447217727
20	1.442142213
21	1.436813078
22	1.431593867
23	1.425065646
24	1.419477266
25	1.413937727
26	1.409455854
27	1.404063554
28	1.399021674
29	1.393209853
30	1.387605259
31	1.383872254
32	1.379391851
33	1.374955862
34	1.37041656
35	1.365770594
36	1.361602199
37	1.35757976
38	1.353390147
39	1.348848423
40	1.344924584
41	1.340580521
42	1.336401185
43	1.332034966
44	1.327373731
45	1.323671026
46	1.320258913
47	1.316563403
48	1.314163733
49	1.310368946
50	1.306723751
51	1.304066998
52	1.300682244
53	1.297094612
54	1.29464614
55	1.291422806
56	1.287420238
57	1.284526401
58	1.280651014
59	1.277714744
60	1.275363311
61	1.271947452
62	1.268475301
63	1.265519368
64	1.263126064
65	1.260537538
66	1.258069045
67	1.256129732
68	1.253172253
69	1.249799282
70	1.24671189
71	1.243968915
72	1.241764169
73	1.240338161
74	1.238436554
75	1.236063439
76	1.23353797
77	1.229557385
78	1.22702988
79	1.224819314
80	1.222857103
81	1.221305922
82	1.219186189
83	1.217063801
84	1.215824883
85	1.213792571
86	1.212512998
87	1.210499922
88	1.209172895
89	1.206939864
90	1.205331439
91	1.203629241
92	1.201126161
93	1.199236137
94	1.197808409
95	1.196345593
96	1.194569859
97	1.193005958
98	1.191166916
99	1.189635143
100	1.188011129
101	1.186338198
102	1.184424097
103	1.182889837
104	1.181693336
105	1.18032705
106	1.178286908
107	1.177451269
108	1.176436944
109	1.174181204
110	1.172801582
111	1.170463381
112	1.169206379
113	1.167862577
114	1.166654063
115	1.164616472
116	1.162917674
117	1.161629482
118	1.160302643
119	1.159387709
120	1.157770986
121	1.15640259
122	1.1549175
123	1.153457371
124	1.152244849
125	1.150841656
126	1.149462653
127	1.14869321
128	1.146673377
129	1.145150207
130	1.143471579
131	1.142290064
132	1.140233214
133	1.137559778
134	1.136696153
135	1.135565611
136	1.133629764
137	1.132426025
138	1.131506562
139	1.130066392
140	1.129465251
141	1.128725154
142	1.127102246
143	1.125324503
144	1.124198659
145	1.123546437
146	1.122744336
147	1.122041025
148	1.120930617
149	1.120167287
150	1.11902655
151	1.117565973
152	1.115489027
153	1.114483991
154	1.113856442
155	1.113228731
156	1.111176911
157	1.109861921
158	1.108768174
159	1.108182683
160	1.107252699
161	1.105865007
162	1.104800697
163	1.103997754
164	1.103386587
165	1.102009247
166	1.100680433
167	1.098793906
168	1.097628237
169	1.095614217
170	1.093985755
171	1.092388075
172	1.091079741
173	1.089941107
174	1.089094166
175	1.087887233
176	1.086883927
177	1.086062933
178	1.084890833
179	1.084325001
180	1.083405889
181	1.082284042
182	1.081216877
183	1.080493406
184	1.079392381
185	1.078531836
186	1.077815977
187	1.076591043
188	1.075211433
189	1.074481862
190	1.072749252
191	1.071584663
192	1.069866996
193	1.069062961
194	1.067564818
195	1.065975871
196	1.06495906
197	1.064442776
198	1.063181478
199	1.062550201
200	1.061355472
201	1.060415853
202	1.060047959
203	1.058123356
204	1.057405857
205	1.056523145
206	1.055583791
207	1.053943072
208	1.053053066
209	1.051805994
210	1.051470562
211	1.050393031
212	1.049449466
213	1.048800136
214	1.048384734
215	1.04740463
216	1.046524057
217	1.045239677
218	1.042972675
219	1.041666954
220	1.040607111
221	1.0391025
222	1.038223756
223	1.03696306
224	1.036320965
225	1.035150743
226	1.033931289
227	1.032659716
228	1.03175504
229	1.030670453
230	1.029884493
231	1.029046915
232	1.02802629
233	1.02698753
234	1.025684827
235	1.024889385
236	1.024262164
237	1.022947288
238	1.022259723
239	1.021117977
240	1.019655196
241	1.018947423
242	1.017992189
243	1.017044017
244	1.016455875
245	1.015406936
246	1.014618595
247	1.013656612
248	1.0129144
249	1.011555032
250	1.009896158
251	1.009073614
252	1.007462485
253	1.006920356
254	1.005880436
255	1.005155479
256	1.0042798
257	1.002833922
258	1.002349185
259	1.001849382
260	1.000745873
261	0.9998145527
262	0.9988904383
263	0.9975684468
264	0.9965870965
265	0.996011003
266	0.9949398506
267	0.993511834
268	0.9924558156
269	0.991479871
270	0.9902180188
271	0.9894076834
272	0.9887218869
273	0.9875470337
274	0.9868761002
275	0.9855401969
276	0.9849661487
277	0.9844194597
278	0.9834636364
