iter	Passed	Remaining
0	3	18576
1	6	17215
2	10	17085
3	13	16737
4	16	16823
5	20	16652
6	23	16601
7	26	16604
8	29	16453
9	33	16662
10	36	16639
11	39	16518
12	43	16686
13	46	16657
14	50	16701
15	54	16958
16	57	16929
17	61	16886
18	61	16226
19	65	16258
20	68	16278
21	71	16257
22	75	16273
23	78	16210
24	81	16160
25	84	16144
26	87	16131
27	91	16298
28	94	16251
29	98	16255
30	101	16233
31	104	16192
32	107	16243
33	111	16223
34	114	16194
35	117	16150
36	120	16135
37	123	16160
38	127	16158
39	130	16146
40	134	16224
41	137	16188
42	140	16193
43	143	16198
44	146	16180
45	150	16157
46	153	16147
47	156	16140
48	159	16150
49	163	16151
50	166	16178
51	169	16169
52	173	16205
53	176	16203
54	179	16165
55	183	16191
56	186	16197
57	190	16226
58	193	16204
59	196	16201
60	199	16178
61	202	16162
62	206	16179
63	209	16158
64	212	16143
65	215	16123
66	219	16144
67	222	16172
68	226	16175
69	229	16183
70	232	16172
71	236	16157
72	239	16177
73	242	16154
74	245	16144
75	248	16128
76	251	16108
77	255	16141
78	260	16237
79	264	16236
80	267	16218
81	270	16207
82	273	16226
83	277	16234
84	280	16227
85	283	16208
86	286	16186
87	290	16222
88	293	16220
89	297	16207
90	300	16185
91	303	16182
92	306	16171
93	309	16155
94	312	16139
95	316	16169
96	320	16177
97	323	16167
98	326	16185
99	330	16177
100	333	16163
101	336	16159
102	340	16207
103	344	16204
104	347	16189
105	350	16197
106	353	16185
107	355	16092
108	358	16087
109	361	16074
110	364	16060
111	367	16057
112	371	16055
113	374	16038
114	377	16053
115	380	16038
116	384	16047
117	387	16041
118	391	16042
119	394	16047
120	397	16047
121	401	16053
122	404	16053
123	408	16048
124	411	16038
125	414	16044
126	418	16041
127	420	16024
128	424	16025
129	427	16019
130	432	16068
131	436	16108
132	440	16109
133	444	16153
134	448	16173
135	451	16162
136	455	16160
137	458	16153
138	462	16159
139	465	16152
140	468	16148
141	472	16154
142	475	16139
143	478	16141
144	482	16148
145	485	16137
146	488	16129
147	492	16148
148	496	16150
149	499	16143
150	502	16139
151	505	16135
152	509	16131
153	512	16118
154	515	16106
155	518	16094
156	521	16096
157	526	16129
158	529	16128
159	533	16126
160	536	16115
161	539	16101
162	542	16097
163	545	16098
164	549	16095
165	552	16084
166	555	16073
167	558	16075
168	562	16072
169	565	16059
170	568	16053
171	571	16055
172	575	16050
173	578	16044
174	581	16044
175	585	16045
176	588	16036
177	591	16026
178	594	16015
179	597	16005
180	600	15997
181	604	16003
182	607	15996
183	611	15998
184	614	15996
185	617	15987
186	620	15981
187	623	15971
188	627	15970
189	630	15961
190	634	15965
191	637	15963
192	640	15954
193	643	15953
194	647	15948
195	650	15945
196	653	15942
197	657	15936
198	660	15943
199	664	15953
200	667	15946
201	672	15969
202	675	15961
203	678	15956
204	681	15945
205	685	15942
206	688	15946
207	691	15939
208	697	15982
209	701	15991
210	704	15993
211	707	15987
212	711	15980
213	715	16001
214	718	15989
215	721	15986
216	724	15976
217	728	15979
218	732	15985
219	735	15974
220	738	15971
221	742	15977
222	745	15968
223	748	15964
224	751	15954
225	755	15949
226	758	15942
227	761	15942
228	764	15935
229	768	15937
230	773	15966
231	777	15982
232	781	15997
233	785	15995
234	790	16021
235	794	16032
236	798	16045
237	801	16041
238	806	16066
239	811	16098
240	816	16114
241	820	16130
