iter	Passed	Remaining
0	4	486
1	10	502
2	15	492
3	19	472
4	24	467
5	28	452
6	33	440
7	38	444
8	42	430
9	48	438
10	53	433
11	57	420
12	61	414
13	66	409
14	70	398
15	74	388
16	79	385
17	82	377
18	86	369
19	92	369
20	96	362
21	100	357
22	104	351
23	109	347
24	113	340
25	117	333
26	122	331
27	126	325
28	130	319
29	136	317
30	141	314
31	145	309
32	151	307
33	155	301
34	159	295
35	163	291
36	167	285
37	171	280
38	175	275
39	180	270
40	184	264
41	188	260
42	193	257
43	198	252
44	203	248
45	207	243
46	211	238
47	215	233
48	221	230
49	225	225
50	230	221
51	235	217
52	239	212
53	243	207
54	249	204
55	253	199
56	257	194
57	262	190
58	266	185
59	269	179
60	273	175
61	278	170
62	282	165
63	286	161
64	291	157
65	295	152
66	299	147
67	304	143
68	308	138
69	312	133
70	316	129
71	321	125
72	325	120
73	330	116
74	335	111
75	339	107
76	343	102
77	348	98
78	353	93
79	357	89
80	363	85
81	368	80
82	373	76
83	378	72
84	382	67
85	386	62
86	391	58
87	395	53
88	400	49
89	405	45
90	409	40
91	415	36
92	420	31
93	425	27
94	429	22
95	435	18
96	439	13
97	447	9
98	452	4
99	456	0
