iter	Passed	Remaining
0	13	1329
1	22	1108
2	28	907
3	31	767
4	39	756
5	48	755
6	53	705
7	57	658
8	65	660
9	71	639
10	79	644
11	89	657
12	95	638
13	106	653
14	111	633
15	120	633
16	125	615
17	131	599
18	139	592
19	151	606
20	164	618
21	170	604
22	175	586
23	183	580
24	188	566
25	194	553
26	200	543
27	212	545
28	219	537
29	225	526
30	232	516
31	239	509
32	247	502
33	251	488
34	258	480
35	267	475
36	275	469
37	281	458
38	295	462
39	303	454
40	311	448
41	322	445
42	329	436
43	338	430
44	352	430
45	357	419
46	368	415
47	374	405
48	384	399
49	394	394
50	401	385
51	410	378
52	426	378
53	436	371
54	450	368
55	457	359
56	464	350
57	470	340
58	475	330
59	484	323
60	490	313
61	502	308
62	508	298
63	514	289
64	519	279
65	529	272
66	538	265
67	544	256
68	550	247
69	558	239
70	573	234
71	583	226
72	588	217
73	603	211
74	608	202
75	614	194
76	620	185
77	628	177
78	633	168
79	641	160
80	648	152
81	656	144
82	663	135
83	670	127
84	675	119
85	687	111
86	702	104
87	711	97
88	716	88
89	720	80
90	728	72
91	734	63
92	745	56
93	749	47
94	755	39
95	761	31
96	767	23
97	774	15
98	786	7
99	792	0
